insert_Note(-12.85523f, -0.8f);
insert_Note(446.5023f, 2.3f);
insert_Note(451.4627f, 2.3f);
insert_Note(453.5494f, -0.8f);
insert_Note(457.9633f, 2.3f);
insert_Note(460.6837f, -0.8f);
insert_Note(464.6496f, 2.3f);
insert_Note(467.53f, -0.8f);
insert_Note(470.8789f, 2.3f);
insert_Note(474.2393f, -0.8f);
insert_Note(480.372f, -0.8f);
insert_Note(482.4112f, 2.3f);
insert_Note(487.6006f, -0.8f);
insert_Note(489.9535f, 2.3f);
insert_Note(494.754f, -0.8f);
insert_Note(496.824f, 2.3f);
insert_Note(501.6245f, -0.8f);
insert_Note(504.1651f, 2.3f);
insert_Note(509.982f, 2.3f);
insert_Note(511.9024f, -0.8f);
insert_Note(516.3132f, 2.3f);
insert_Note(518.0732f, -0.8f);
insert_Note(523.5808f, 2.3f);
insert_Note(526.6206f, -0.8f);
insert_Note(530.4011f, 2.3f);
insert_Note(533.7608f, -0.8f
